N,Case,Algorithm,AvgTime_us,AvgComps
2300,Reversed,MergeStd,1533.53,31968
2300,Reversed,Quick3Way,653.371,91710
2300,Reversed,MergeLCP,1305.91,26131
2300,Reversed,MSDRadix,834.214,0
2300,Reversed,MSDCutoff,346.9,36162
2300,AlmostSorted,QuickStd,883.371,350464
2300,AlmostSorted,MergeStd,1551.29,50766
2300,AlmostSorted,Quick3Way,277.314,33218
2300,AlmostSorted,MergeLCP,1347.99,46396
2300,AlmostSorted,MSDRadix,848.286,0
2300,AlmostSorted,MSDCutoff,199.043,12965
2400,Random,QuickStd,1016.14,361088
2400,Random,MergeStd,1925.63,57871
2400,Random,Quick3Way,282.329,25652
2400,Random,MergeLCP,1621.77,54646
2400,Random,MSDRadix,703.329,0
2400,Random,MSDCutoff,183.414,10218
2400,Reversed,QuickStd,798.829,330848
2400,Reversed,MergeStd,1668.57,33098
2400,Reversed,Quick3Way,704.543,99245
2400,Reversed,MergeLCP,1287.76,26886
2400,Reversed,MSDRadix,755.571,0
2400,Reversed,MSDCutoff,336.886,37728
2400,AlmostSorted,QuickStd,941.843,362492
2400,AlmostSorted,MergeStd,1598.71,53508
2400,AlmostSorted,Quick3Way,656.3,82350
2400,AlmostSorted,MergeLCP,1487.81,48592
2400,AlmostSorted,MSDRadix,896.357,0
2400,AlmostSorted,MSDCutoff,197.543,13813
2500,Random,QuickStd,1059.27,367945
2500,Random,MergeStd,1929.94,60893
2500,Random,Quick3Way,289.771,26531
2500,Random,MergeLCP,1724.59,57460
2500,Random,MSDRadix,866.843,0
2500,Random,MSDCutoff,221.229,11046
2500,Reversed,QuickStd,886.514,346867
2500,Reversed,MergeStd,1551.8,34760
2500,Reversed,Quick3Way,746.614,104913
2500,Reversed,MergeLCP,1284.31,28150
2500,Reversed,MSDRadix,920.757,0
2500,Reversed,MSDCutoff,365.4,39129
2500,AlmostSorted,QuickStd,1001.29,376361
2500,AlmostSorted,MergeStd,1718.59,56299
